Action,CustomLabel,Title,StartPrice,Quantity,PicURL,Description,ConditionID,CategoryID
Add,FW20-TEE-YOHJ-BLK-M,Supreme Yohji Yamamoto Game Over Tee,100.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/products/image_d6e91bfa-46a3-4cd3-b04a-072961bfe4a6.jpg?v=1632461350,"<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""><strong><span class=""chakra-text css-k2wirk"">Season</span></strong></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;"">FW20</div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""><strong><span class=""chakra-text css-k2wirk""></span></strong></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""><strong><span class=""chakra-text css-k2wirk"">Color</span></strong></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;"">BLACK</div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""><strong></strong></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""><strong>Release Date</strong></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""></div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;"">09/17/2020</div>
<div data-component=""product-trait"" class=""css-1rupy4j"" style=""text-align: center;""></div>
<div data-component=""product-trait"" class=""css-1rupy4j"">
<div data-component=""product-trait"" class=""css-1rupy4j"">
<p class=""chakra-text css-xxhgqu"" style=""text-align: left;""><meta charset=""utf-8"">The Supreme Yohji Yamamoto Game Over T-shirt was released alongside 29 other collaborative items as a part of FW20 Week 4. This black t-shirt features Supreme and Yohji Yamamoto cobranding on a Peter Saville graphic on the front chest of the garment.
</div>
</div>

https://premeftp.shop/products/supreme-yohji-yamamoto-game-over-tee",,
Add,FW20-DECK-LEE-BLK-OS,Supreme x Lee Scratch Perry Black Ark Cruiser Deck - Black,100.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-x-Lee-Scratch-Perry-Black-Ark-Cruiser-Deck-Black.webp?v=1683493327;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-x-Lee-Scratch-Perry-Black-Ark-Cruiser-Deck-Black-2.webp?v=1683493342,"<div data-component=""ProductTraits"" class=""css-1cs6h8q"">
<div data-component=""product-trait"" class=""css-129xwka"">
<span class=""chakra-text css-1t6bihi"">Season</span>
<p class=""chakra-text css-1h7lzbl"">FW20
</div>
<div data-component=""product-trait"" class=""css-129xwka"">
<span class=""chakra-text css-1t6bihi"">Color</span>
<p class=""chakra-text css-1h7lzbl"">BLACK
</div>
<div data-component=""product-trait"" class=""css-129xwka"">
<span class=""chakra-text css-1t6bihi"">Release Date</span>
<p class=""chakra-text css-1h7lzbl"">10/15/2020
</div>
</div>
<div data-component=""ProductDescription"" class=""css-ee9ask"">
<h2 class=""chakra-heading css-1stuxff"">Product Description</h2>
<div class=""chakra-collapse"">
<p class=""chakra-text css-qeb57l"">Supreme and Jamaican record producer Lee Scratch Perry have teamed up for another collaboration. This time, the artist brought his signature writing style to jeans, jackets, hoodie, shirts, and these Cruiser Decks. The Supreme x Lee Scratch Perry Black Ark Cruiser Deck came in two colors, yellow and black.
</div>
</div>

https://premeftp.shop/products/supreme-x-lee-scratch-perry-black-ark-cruiser-deck-black",,
Add,FW20-MISC-COLG-NA-OS,Supreme x Colgate Toothpaste (Not Fit For Human Use),15.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-x-Colgate-Toothpaste-8x-Lot-Not-Fit-For-Human-Use.webp?v=1683493272;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-x-Colgate-Toothpaste-4x-Lot-Not-Fit-For-Human-Use.webp?v=1683493272,"Supreme x Colgate Toothpaste from the Fall/Winter 2020 collection. Released October 8, 2020.
<strong>Important:</strong> This product is labeled <strong>Not Fit For Human Use</strong>.
<strong>Season:</strong> FW20
<strong>Release date:</strong> October 8, 2020

https://premeftp.shop/products/supreme-x-colgate-toothpaste",,
Add,FW20-NERA-WIND-PNK-OS,Supreme WINDSTOPPER Earflap Box Logo New Era,90.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-WINDSTOPPER-Earflap-Box-Logo-New-Era-Pink.webp?v=1683492992,"Supreme WINDSTOPPER Earflap Box Logo New Era in pink, size 7 3/8, from the Fall/Winter 2020 collection. Released December 24, 2020.
<strong>Season:</strong> FW20
<strong>Color:</strong> Pink
<strong>Size:</strong> 7 3/8
<strong>Release date:</strong> December 24, 2020

https://premeftp.shop/products/supreme-windstopper-earflap-box-logo-new-era-7-3-8",,
Add,SS21-TEE-WIND-BLK-M,Supreme Wind Tee,80.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/products/image_af6f96df-e9e9-4817-a3e8-cae8926b5852.jpg?v=1632465703,"Supreme Wind Tee in black/purple, size Medium, from the Spring/Summer 2021 collection. Released February 18, 2021.
<strong>Season:</strong> SS21
<strong>Color:</strong> Black/Purple
<strong>Size:</strong> Medium
<strong>Release date:</strong> February 18, 2021

https://premeftp.shop/products/supreme-wind-tee-medium",,
Add,FW21-6PNL-VENT-NA-OS,Supreme Ventile S Logo 6-Panel,110.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/03a.jpg?v=1787364687;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/03b.jpg?v=1787364687;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/03c.jpg?v=1787364687,"Supreme Ventile S Logo 6-Panel in magenta from the Fall/Winter 2021 collection. Released August 19, 2021.
<strong>Season:</strong> FW21
<strong>Color:</strong> Magenta
<strong>Release date:</strong> August 19, 2021

https://premeftp.shop/products/supreme-ventile-s-logo-6-panel-fw21",,
Add,FW21-BEAN-USA-NA-OS,Supreme USA Beanie,60.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-USA-Beanie-Heather-Grey.webp?v=1683492457,"Supreme USA Beanie in heather grey from the Fall/Winter 2021 collection. Released August 19, 2021.
<strong>Season:</strong> FW21
<strong>Color:</strong> Heather Grey
<strong>Release date:</strong> August 19, 2021

https://premeftp.shop/products/supreme-usa-beanie",,
Add,SS22-SHRT-UMBR-WHT-XL,Supreme Umbro Soccer Short,235.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-Umbro-Soccer-Short-White.webp?v=1683251139;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-Umbro-Soccer-Short-White-2.webp?v=1683251139,"Supreme x Umbro Soccer Short in white from the Spring/Summer 2022 collection. This product is X-Large and was released July 7, 2022.
<strong>Season:</strong> SS22
<strong>Color:</strong> White
<strong>Size:</strong> X-Large
<strong>Release date:</strong> July 7, 2022

https://premeftp.shop/products/supreme-umbro-soccer-short-x-large",,
Add,SS22-JRSY-UMBR-WHT-OS,Supreme Umbro Soccer Jersey,225.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-Umbro-Soccer-Jersey-White.webp?v=1683250821;https://cdn.shopify.com/s/files/1/0597/9196/6369/files/Supreme-Umbro-Soccer-Jersey-White-2.webp?v=1683250822,"Supreme x Umbro Soccer Jersey in white from the Spring/Summer 2022 collection. Released July 7, 2022.
<strong>Season:</strong> SS22
<strong>Color:</strong> White
<strong>Release date:</strong> July 7, 2022

https://premeftp.shop/products/supreme-umbro-soccer-jersey-white",,
Add,FW20-TEE-TIRE-NA-M,Supreme Tire Tee,80.00,,https://cdn.shopify.com/s/files/1/0597/9196/6369/products/image_a7a968e5-eb3c-4817-a687-94233e8cec8b.jpg?v=1632462680,"Supreme Tire Tee in heather grey, size Medium, from the Fall/Winter 2020 collection. Released August 20, 2020.
<strong>Season:</strong> FW20
<strong>Color:</strong> Heather Grey
<strong>Size:</strong> Medium
<strong>Release date:</strong> August 20, 2020

https://premeftp.shop/products/supreme-tire-tee",,
