current_price,title,product_type,storefront_url,stockx_search,market_low_ask_FILL_IN,new_price_FILL_IN
385.00,"Supreme New York Yankees Kanji Hooded Sweatshirt","Hooded Sweatshirt",https://premeftp.shop/products/supreme-new-york-yankees-kanji-hooded-sweatshirt-large,"https://stockx.com/search?s=Supreme%20New%20York%20Yankees%20Kanji%20Hooded%20Sweatshirt",,
376.00,"Supreme Cross Track Jacket","Jacket",https://premeftp.shop/products/supreme-cross-track-jacket,"https://stockx.com/search?s=Supreme%20Cross%20Track%20Jacket",,
280.00,"Supreme The North Face S Logo Shoulder Bag","Shoulder Bag",https://premeftp.shop/products/supreme-the-north-face-s-logo-shoulder-bag-black,"https://stockx.com/search?s=Supreme%20The%20North%20Face%20S%20Logo%20Shoulder%20Bag",,
250.00,"Supreme Rhinestone Hooded Sweatshirt","Hooded Sweatshirt",https://premeftp.shop/products/supreme-rhinestone-hooded-sweatshirt-x-large,"https://stockx.com/search?s=Supreme%20Rhinestone%20Hooded%20Sweatshirt",,
235.00,"Supreme Umbro Soccer Short","Soccer Shorts",https://premeftp.shop/products/supreme-umbro-soccer-short-x-large,"https://stockx.com/search?s=Supreme%20Umbro%20Soccer%20Short",,
225.00,"Supreme Umbro Soccer Jersey","Soccer Jersey",https://premeftp.shop/products/supreme-umbro-soccer-jersey-white,"https://stockx.com/search?s=Supreme%20Umbro%20Soccer%20Jersey",,
200.00,"Supreme Arabic Logo Hooded Sweatshirt","Hooded Sweatshirt",https://premeftp.shop/products/supreme-arabic-logo-hooded-sweatshirt,"https://stockx.com/search?s=Supreme%20Arabic%20Logo%20Hooded%20Sweatshirt",,
156.00,"Supreme Shoulder Bag","Shoulder Bag",https://premeftp.shop/products/supreme-shoulder-bag,"https://stockx.com/search?s=Supreme%20Shoulder%20Bag",,
155.00,"Supreme Thrasher Multi Logo L/S Tee","Long Sleeve T-Shirt",https://premeftp.shop/products/supreme-thrasher-multi-logo-l-s-tee-large,"https://stockx.com/search?s=Supreme%20Thrasher%20Multi%20Logo%20L%2FS%20Tee",,
155.00,"Supreme Bleached Rib Beanie","Beanie",https://premeftp.shop/products/supreme-bleached-rib-beanie,"https://stockx.com/search?s=Supreme%20Bleached%20Rib%20Beanie",,
130.00,"Supreme Face Tee","T-Shirt",https://premeftp.shop/products/supreme-face-tee-large,"https://stockx.com/search?s=Supreme%20Face%20Tee",,
125.00,"Supreme Loose Gauge Beanie (FW21)","Beanie",https://premeftp.shop/products/supreme-loose-gauge-beanie-fw21,"https://stockx.com/search?s=Supreme%20Loose%20Gauge%20Beanie%20(FW21)",,
125.00,"Supreme Loose Gauge Beanie","Beanie",https://premeftp.shop/products/supreme-loose-gauge-beanie,"https://stockx.com/search?s=Supreme%20Loose%20Gauge%20Beanie",,
120.00,"Supreme Mini Shoulder Bag","Shoulder Bag",https://premeftp.shop/products/supreme-mini-shoulder-bag,"https://stockx.com/search?s=Supreme%20Mini%20Shoulder%20Bag",,
115.00,"Supreme PiL Live In Tokyo Tee","T-Shirt",https://premeftp.shop/products/supreme-pil-live-in-tokyo-tee-xxl,"https://stockx.com/search?s=Supreme%20PiL%20Live%20In%20Tokyo%20Tee",,
110.00,"Supreme Ventile S Logo 6-Panel","6-Panel Cap",https://premeftp.shop/products/supreme-ventile-s-logo-6-panel-fw21,"https://stockx.com/search?s=Supreme%20Ventile%20S%20Logo%206-Panel",,
110.00,"Supreme Big Logo Beanie","Beanie",https://premeftp.shop/products/supreme-big-logo-beanie-fw21,"https://stockx.com/search?s=Supreme%20Big%20Logo%20Beanie",,
108.00,"Supreme You Still Suck L/S Tee","Long Sleeve T-Shirt",https://premeftp.shop/products/supreme-you-still-suck-l-s-tee,"https://stockx.com/search?s=Supreme%20You%20Still%20Suck%20L%2FS%20Tee",,
108.00,"Supreme Neck Pouch","Bag",https://premeftp.shop/products/supreme-neck-pouch,"https://stockx.com/search?s=Supreme%20Neck%20Pouch",,
